41	1	87	89	26	3	47	46	92	87
100	68	78	19	62	48	99	19	22	9
83	8	17	76	22	69	40	57	29	51
94	66	47	15	9	54	20	49	77	54
85	28	23	59	63	10	12	9	88	10
52	65	79	32	57	7	1	55	69	56
52	77	81	13	96	69	43	34	25	37
57	57	74	88	6	46	16	70	18	68
56	6	34	68	76	90	93	3	52	66
99	72	30	82	76	78	22	94	18	79
57	38	100	86	94	31	47	86	10	40
49	53	92	96	32	8	52	44	51	74
34	15	91	11	81	5	92	10	79	14
68	37	88	13	82	64	95	30	31	92
8	18	87	22	95	27	73	66	84	23
90	40	3	10	77	49	54	58	69	66
33	47	80	88	6	75	63	93	60	95
40	68	40	46	30	85	33	63	4	21
3	12	29	30	61	68	80	2	7	8
7	2	41	16	4	72	13	13	4	77
29	70	40	63	88	9	33	41	40	85
96	19	53	37	43	81	23	61	86	27
54	100	83	5	35	62	89	69	5	43
36	65	75	31	50	5	100	8	78	63
82	93	56	16	61	8	6	74	32	17
21	43	23	70	87	45	2	47	53	83
50	80	39	15	100	37	91	28	57	81
94	100	19	93	83	98	93	12	61	28
6	77	86	7	93	24	92	4	46	37
29	27	66	93	7	14	36	6	76	50
24	11	95	42	56	29	92	58	24	57
74	62	20	17	4	37	45	59	20	56
26	9	27	27	62	82	60	41	91	59
63	60	27	15	55	24	72	69	93	72
63	85	65	21	24	48	22	51	25	56
67	36	6	24	65	77	50	72	96	93
48	91	37	60	2	50	95	6	74	52
87	42	19	48	57	72	34	2	81	71
87	58	31	12	23	3	93	3	39	95
84	47	74	40	21	23	57	28	1	77
52	73	4	6	64	28	89	42	61	7
82	84	4	80	46	70	10	71	17	61
40	52	52	63	49	11	14	87	12	4
17	51	51	34	17	80	51	42	88	2
78	75	15	93	59	56	38	51	88	74
91	10	2	63	97	63	51	23	68	16
95	82	53	31	60	24	56	84	33	47
88	43	23	60	68	78	28	40	12	23
82	79	9	34	49	15	71	23	45	3
24	21	14	22	29	96	95	11	19	34
88	44	10	99	18	20	43	74	44	38
76	69	49	30	53	69	79	81	4	1
79	68	58	100	17	27	59	78	20	67
75	46	83	57	91	29	87	80	22	100
83	28	22	91	16	41	49	29	64	50
93	54	89	17	84	87	2	16	60	65
54	35	93	48	60	17	84	89	39	94
59	4	28	74	65	83	6	75	76	36
64	50	80	54	16	75	53	88	12	72
72	19	8	12	26	65	92	87	44	31
57	45	50	58	8	18	51	91	53	31
46	37	84	67	74	62	81	30	40	75
54	70	49	17	52	11	51	51	29	69
100	77	12	34	1	38	84	67	10	18
97	91	56	46	5	72	79	26	6	19
37	56	98	76	38	62	13	38	25	13
46	38	97	71	91	36	10	61	76	26
82	77	26	76	21	43	6	73	86	1
73	96	27	11	68	59	84	58	53	92
97	19	78	92	53	58	68	50	10	87
15	55	87	68	12	15	96	7	1	23
41	94	18	84	91	15	61	11	20	74
86	4	57	83	53	12	88	22	19	28
53	70	50	24	23	43	88	61	80	59
42	64	95	9	34	95	17	20	24	71
15	85	17	65	51	41	33	65	81	37
31	10	100	21	61	52	7	97	39	87
11	13	38	9	2	98	53	11	55	56
12	70	51	25	89	42	5	48	74	40
28	38	16	68	30	98	54	66	15	77
33	64	68	74	68	91	33	6	67	93
51	62	83	84	71	34	87	58	98	57
2	19	68	24	46	3	12	64	72	62
91	94	97	63	79	8	93	69	47	88
69	77	83	81	91	33	4	30	81	73
5	69	36	52	85	69	80	41	31	45
82	74	56	75	53	82	83	74	71	63
89	6	73	90	73	97	43	24	96	11
42	71	75	44	83	40	95	52	84	90
80	5	37	32	91	72	48	32	68	88
82	70	53	84	44	65	28	65	32	43
47	19	1	11	57	16	38	8	14	22
25	63	86	39	19	44	56	40	22	13
49	89	81	26	83	37	99	49	42	38
19	73	98	40	4	93	50	94	90	4
79	48	61	84	31	80	52	70	28	14
58	79	56	86	27	38	1	71	25	43
47	52	4	56	71	4	12	51	26	96
79	44	97	43	92	47	78	55	58	44
61	74	23	2	79	74	93	76	27	43
41	51	24	45	15	80	37	65	80	84
53	47	70	20	47	49	74	45	99	68
7	27	91	68	75	55	27	41	96	63
91	5	68	25	83	34	85	10	42	8
35	70	12	49	79	4	81	51	86	24
99	28	52	78	33	62	6	76	26	78
51	69	55	68	44	83	82	83	13	76
23	91	70	90	55	2	93	39	81	18
36	19	23	29	13	59	100	33	98	37
75	59	10	22	30	53	17	63	42	36
90	42	81	51	19	44	41	99	39	36
5	3	80	57	46	13	25	36	89	24
19	76	19	23	78	25	5	64	57	74
56	79	62	47	72	12	25	42	75	23
55	15	45	31	8	85	60	3	77	92
40	30	82	40	5	58	42	1	27	47
67	34	43	92	13	12	12	39	1	41
56	84	35	47	34	70	66	50	86	96
21	36	36	14	75	54	63	11	17	19
45	70	61	25	99	64	58	21	27	13
62	84	67	99	77	64	18	11	79	73
53	15	58	28	18	3	1	39	31	61
95	44	49	78	51	48	24	40	84	43
9	4	71	6	14	63	59	51	19	33
16	81	91	42	100	11	29	7	54	48
34	22	28	73	47	17	91	87	9	21
48	94	60	70	54	57	46	8	85	74
92	69	74	8	72	21	100	52	2	6
51	55	45	52	76	64	89	63	5	92
82	17	15	65	26	65	31	31	18	67
3	88	52	46	5	91	80	17	84	30
27	94	15	78	84	30	34	26	88	48
26	97	34	18	22	69	7	50	55	81
52	72	87	25	76	70	73	26	79	41
76	81	44	91	39	10	9	16	70	59
72	71	63	40	33	8	56	9	55	51
14	7	47	58	19	65	28	17	23	86
35	56	34	83	47	65	35	31	17	2
19	14	53	29	35	14	9	75	46	47
33	89	31	4	41	26	28	82	17	65
35	51	90	84	85	70	35	97	17	20
44	10	86	92	46	77	43	86	91	30
65	45	71	1	60	75	74	3	71	37
14	21	94	79	43	14	76	73	37	43
98	36	52	97	24	37	52	20	100	59
29	47	88	61	51	46	77	76	22	76
87	35	97	61	61	23	90	56	68	38
21	8	9	50	31	9	73	34	22	72
36	73	5	62	33	47	31	8	87	59
22	80	8	66	67	42	49	20	18	31
